     2 =             1.0
     3 =             1.1
     5 =             2.1
     7 =           1.0.1
    11 =           1.2.1
    13 =           2.0.1
    17 =           2.2.1
    19 =           3.0.1
    23 =           3.2.1
    29 =           4.2.1
    31 =         1.0.0.1
    37 =         1.1.0.1
    41 =         1.1.2.1
    43 =         1.2.0.1
    47 =         1.2.2.1
    53 =         1.3.2.1
    59 =         1.4.2.1
    61 =         2.0.0.1
    67 =         2.1.0.1
    71 =         2.1.2.1
    73 =         2.2.0.1
    79 =         2.3.0.1
    83 =         2.3.2.1
    89 =         2.4.2.1
    97 =         3.1.0.1
   101 =         3.1.2.1
   103 =         3.2.0.1
   107 =         3.2.2.1
   109 =         3.3.0.1
   113 =         3.3.2.1
   127 =         4.1.0.1
   131 =         4.1.2.1
   137 =         4.2.2.1
   139 =         4.3.0.1
   149 =         4.4.2.1
   151 =         5.0.0.1
   157 =         5.1.0.1
   163 =         5.2.0.1
   167 =         5.2.2.1
   173 =         5.3.2.1
   179 =         5.4.2.1
   181 =         6.0.0.1
   191 =         6.1.2.1
   193 =         6.2.0.1
   197 =         6.2.2.1
   199 =         6.3.0.1
   211 =       1.0.0.0.1
   223 =       1.0.2.0.1
   227 =       1.0.2.2.1
   229 =       1.0.3.0.1
   233 =       1.0.3.2.1
   239 =       1.0.4.2.1
   241 =       1.1.0.0.1
   251 =       1.1.1.2.1
   257 =       1.1.2.2.1
   263 =       1.1.3.2.1
   269 =       1.1.4.2.1
   271 =       1.2.0.0.1
   277 =       1.2.1.0.1
   281 =       1.2.1.2.1
   283 =       1.2.2.0.1
   293 =       1.2.3.2.1
   307 =       1.3.1.0.1
   311 =       1.3.1.2.1
   313 =       1.3.2.0.1
   317 =       1.3.2.2.1
   331 =       1.4.0.0.1
   337 =       1.4.1.0.1
   347 =       1.4.2.2.1
   349 =       1.4.3.0.1
   353 =       1.4.3.2.1
   359 =       1.4.4.2.1
   367 =       1.5.1.0.1
   373 =       1.5.2.0.1
   379 =       1.5.3.0.1
   383 =       1.5.3.2.1
   389 =       1.5.4.2.1
   397 =       1.6.1.0.1
   401 =       1.6.1.2.1
   409 =       1.6.3.0.1
   419 =       1.6.4.2.1
   421 =       2.0.0.0.1
   431 =       2.0.1.2.1
   433 =       2.0.2.0.1
   439 =       2.0.3.0.1
   443 =       2.0.3.2.1
   449 =       2.0.4.2.1
   457 =       2.1.1.0.1
   461 =       2.1.1.2.1
   463 =       2.1.2.0.1
   467 =       2.1.2.2.1
   479 =       2.1.4.2.1
   487 =       2.2.1.0.1
   491 =       2.2.1.2.1
   499 =       2.2.3.0.1
   503 =       2.2.3.2.1
   509 =       2.2.4.2.1
   521 =       2.3.1.2.1
   523 =       2.3.2.0.1
   541 =       2.4.0.0.1
   547 =       2.4.1.0.1
   557 =       2.4.2.2.1
   563 =       2.4.3.2.1
   569 =       2.4.4.2.1
   571 =       2.5.0.0.1
   577 =       2.5.1.0.1
   587 =       2.5.2.2.1
   593 =       2.5.3.2.1
   599 =       2.5.4.2.1
   601 =       2.6.0.0.1
   607 =       2.6.1.0.1
   613 =       2.6.2.0.1
   617 =       2.6.2.2.1
   619 =       2.6.3.0.1
   631 =       3.0.0.0.1
   641 =       3.0.1.2.1
   643 =       3.0.2.0.1
   647 =       3.0.2.2.1
   653 =       3.0.3.2.1
   659 =       3.0.4.2.1
   661 =       3.1.0.0.1
   673 =       3.1.2.0.1
   677 =       3.1.2.2.1
   683 =       3.1.3.2.1
   691 =       3.2.0.0.1
   701 =       3.2.1.2.1
   709 =       3.2.3.0.1
   719 =       3.2.4.2.1
   727 =       3.3.1.0.1
   733 =       3.3.2.0.1
   739 =       3.3.3.0.1
   743 =       3.3.3.2.1
   751 =       3.4.0.0.1
   757 =       3.4.1.0.1
   761 =       3.4.1.2.1
   769 =       3.4.3.0.1
   773 =       3.4.3.2.1
   787 =       3.5.1.0.1
   797 =       3.5.2.2.1
   809 =       3.5.4.2.1
   811 =       3.6.0.0.1
   821 =       3.6.1.2.1
   823 =       3.6.2.0.1
   827 =       3.6.2.2.1
   829 =       3.6.3.0.1
   839 =       3.6.4.2.1
   853 =       4.0.2.0.1
   857 =       4.0.2.2.1
   859 =       4.0.3.0.1
   863 =       4.0.3.2.1
   877 =       4.1.1.0.1
   881 =       4.1.1.2.1
   883 =       4.1.2.0.1
   887 =       4.1.2.2.1
   907 =       4.2.1.0.1
   911 =       4.2.1.2.1
   919 =       4.2.3.0.1
   929 =       4.2.4.2.1
   937 =       4.3.1.0.1
   941 =       4.3.1.2.1
   947 =       4.3.2.2.1
   953 =       4.3.3.2.1
   967 =       4.4.1.0.1
   971 =       4.4.1.2.1
   977 =       4.4.2.2.1
   983 =       4.4.3.2.1
   991 =       4.5.0.0.1
   997 =       4.5.1.0.1
  1009 =       4.5.3.0.1
  1013 =       4.5.3.2.1
